"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"69",69,"Moldova","255,501","+48","6,137","+3","248,062","+22","1,302","60","63,475","1,525","1,141,292","283,535","4,025,228","Europe","16","656",4,12,0.7,"323"
"70",70,"Slovenia","255,432","+57","4,390","+2","247,381","+82","3,661","51","122,851","2,111","1,301,301","625,865","2,079,204","Europe","8","474",2,27,1,"1,761"
"71",71,"Bahrain","251,078","","1,119","","228,370","","21,589","335","142,977","637","4,730,469","2,693,772","1,756,076","Asia","7","1,569",0,NA,NA,"12,294"
"72",72,"Venezuela","242,138","","2,719","","222,531","","16,888","306","8,538","96","3,359,014","118,438","28,360,869","South America","117","10,431",8,NA,NA,"595"
"73",73,"Honduras","241,826","+252","6,479","+19","86,150","+104","149,197","528","24,061","645","734,600","73,090","10,050,647","North America","42","1,551",14,25,2,"14,845"
"74",74,"Oman","225,095","+1,216","2,424","+11","205,305","+825","17,366","297","43,067","464","1,550,000","296,556","5,226,665","Asia","23","2,156",3,233,2,"3,323"
"75",75,"Armenia","223,212","+32","4,463","+5","214,504","+141","4,245","","75,196","1,504","1,104,999","372,254","2,968,398","Asia","13","665",3,11,2,"1,430"
"76",76,"Qatar","218,798","+171","569","","215,635","+341","2,594","101","77,925","203","2,053,409","731,322","2,807,805","Asia","13","4,935",1,61,NA,"924"
"77",77,"Sri Lanka","207,979","+2,646","1,789","+47","176,045","+8,741","30,145","","9,675","83","3,557,469","165,489","21,496,762","Asia","103","12,016",6,123,2,"1,402"
"78",78,"Bosnia and Herzegovina","204,410","+106","9,411","+37","176,589","+303","18,410","","62,668","2,885","992,476","304,273","3,261,790","Europe","16","347",3,32,11,"5,644"
"79",79,"Libya","187,685","+407","3,146","+3","173,394","+208","11,145","","26,974","452","1,049,499","150,834","6,957,975","Africa","37","2,212",7,58,0.4,"1,602"
"80",80,"Thailand","179,886","+2,419","1,269","+33","129,516","+2,999","49,101","1,169","2,571","18","8,124,896","116,131","69,962,963","Asia","389","55,132",9,35,0.5,"702"
"81",81,"Kenya","172,639","+148","3,308","+21","118,226","+631","51,105","121","3,146","60","1,836,410","33,470","54,867,227","Africa","318","16,586",30,3,0.4,"931"
"82",82,"Nigeria","166,767","","2,117","","163,096","","1,554","11","791","10","2,133,061","10,116","210,862,829","Africa","1,264","99,605",99,NA,NA,"7"
"83",83,"North Macedonia","155,418","+1","5,458","+3","149,496","+204","464","25","74,602","2,620","814,518","390,976","2,083,294","Europe","13","382",3,0.5,1,"223"
"84",84,"Cuba","150,103","+1,185","1,025","+13","143,105","+1,156","5,973","173","13,260","91","4,484,454","396,147","11,320,178","North America","75","11,044",3,105,1,"528"
