"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"99","Cameroon","78,929","","1,275","","73,974","","3,680","122","2,906","47","1,694,017","62,375","27,158,524","Africa","344","21,301",16,NA,NA,"136"
"100","El Salvador","74,141","","2,279","+5","69,215","","2,647","27","11,377","350","1,000,769","153,569","6,516,730","North America","88","2,859",7,NA,0.8,"406"
"101","Cyprus","72,859","","364","","70,701","","1,794","18","59,939","299","7,001,854","5,760,226","1,215,552","Asia","17","3,339",0,NA,NA,"1,476"
"102","Mozambique","71,145","","838","","69,687","","620","17","2,219","26","561,181","17,501","32,066,512","Africa","451","38,266",57,NA,NA,"19"
"103","Luxembourg","70,256","","818","","68,764","","674","2","110,562","1,287","2,942,489","4,630,589","635,446","Europe","9","777",0,NA,NA,"1,061"
"104","Maldives","68,502","","187","","49,844","","18,471","90","124,687","340","905,329","1,647,877","549,391","Asia","8","2,938",1,NA,NA,"33,621"
"105","Mongolia","67,710","+1,267","318","+5","54,713","+632","12,679","126","20,349","96","3,009,838","904,569","3,327,374","Asia","49","10,463",1,381,2,"3,811"
"106","Singapore","62,219","+9","33","","61,660","","526","2","10,558","6","12,366,898","2,098,495","5,893,223","Asia","95","178,583",0,2,NA,"89"
"107","Namibia","59,092","","920","","52,390","","5,782","57","22,871","356","450,044","174,188","2,583,661","Africa","44","2,808",6,NA,NA,"2,238"
"108","Botswana","58,095","","885","","53,887","","3,323","1","24,250","369","1,193,343","498,115","2,395,717","Africa","41","2,707",2,NA,NA,"1,387"
"109","Uganda","53,961","","383","","47,760","","5,818","24","1,146","8","1,151,421","24,458","47,077,451","Africa","872","122,918",41,NA,NA,"124"
"110","Jamaica","48,983","","971","","26,424","","21,588","7","16,475","327","394,958","132,838","2,973,224","North America","61","3,062",8,NA,NA,"7,261"
"111","Ivory Coast","47,493","","306","","46,989","","198","","1,760","11","654,588","24,258","26,983,927","Africa","568","88,183",41,NA,NA,"7"
"112","Madagascar","41,758","+16","871","+5","40,870","","17","115","1,473","31","205,997","7,266","28,350,875","Africa","679","32,550",138,0.6,0.2,"0.6"
"113","Senegal","41,725","+12","1,150","+2","40,323","+25","252","5","2,433","67","530,519","30,929","17,152,838","Africa","411","14,916",32,0.7,0.1,"15"
"114","Zimbabwe","39,238","","1,611","","36,746","","881","1","2,605","107","487,719","32,376","15,064,181","Africa","384","9,351",31,NA,NA,"58"
"115","Sudan","36,004","","2,697","","29,716","","3,591","","804","60","232,965","5,200","44,798,972","Africa","1,244","16,611",192,NA,NA,"80"
"116","Angola","35,854","","800","","29,329","","5,725","9","1,060","24","587,595","17,378","33,812,272","Africa","943","42,265",58,NA,NA,"169"
"117","Cambodia","35,511","+678","278","+12","28,649","+557","6,584","","2,097","16","1,201,405","70,945","16,934,239","Asia","477","60,915",14,40,0.7,"389"
"118","Malawi","34,403","","1,157","","32,675","","571","10","1,756","59","249,520","12,738","19,588,134","Africa","569","16,930",79,NA,NA,"29"
"119","DRC","33,338","","805","","27,751","","4,782","","362","9","163,710","1,778","92,081,446","Africa","2,762","114,387",562,NA,NA,"52"
"120","Cabo Verde","31,147","","267","","29,826","","1,054","23","55,460","475","161,272","287,160","561,610","Africa","18","2,103",3,NA,NA,"1,877"
"121","Malta","30,572","+1","419","","30,083","+3","70","","69,067","947","943,984","2,132,622","442,640","Europe","14","1,056",0,2,NA,"158"
"122","Australia","30,199","+5","910","","29,147","","142","1","1,172","35","18,984,626","736,542","25,775,336","Australia/Oceania","854","28,325",1,0.2,NA,"6"
"123","Rwanda","27,307","","360","","26,254","","693","10","2,061","27","1,475,285","111,343","13,249,913","Africa","485","36,805",9,NA,NA,"52"
"124","Trinidad and Tobago","26,799","","589","","16,215","","9,995","22","19,091","420","202,164","144,020","1,403,717","North America","52","2,383",7,NA,NA,"7,120"
"125","French Guiana","24,935","","126","","9,995","","14,814","30","81,525","412","262,786","859,176","305,858","South America","12","2,427",1,NA,NA,"48,434"
"126","Réunion","24,901","","189","","22,796","","1,916","35","27,629","210","102,720","113,973","901,268","Africa","36","4,769",9,NA,NA,"2,126"
"127","Syria","24,680","","1,796","","21,640","","1,244","","1,379","100","103,566","5,787","17,894,903","Asia","725","9,964",173,NA,NA,"70"
"128","Gabon","24,591","","154","","22,815","","1,622","17","10,812","68","821,940","361,380","2,274,447","Africa","92","14,769",3,NA,NA,"713"
"129","Guinea","23,312","+5","164","+1","21,382","+47","1,766","24","1,732","12","455,682","33,847","13,462,835","Africa","578","82,090",30,0.4,0.07,"131"
"130","Mayotte","20,176","","173","","2,964","","17,039","6","72,336","620","176,919","634,302","278,919","Africa","14","1,612",2,NA,NA,"61,089"
"131","Mauritania","19,853","","470","","18,834","","549","16","4,168","99","276,504","58,053","4,762,923","Africa","240","10,134",17,NA,NA,"115"
"132","French Polynesia","18,899","","142","","18,728","","29","1","66,918","503","26,355","93,318","282,422","Australia/Oceania","15","1,989",11,NA,NA,"103"
"133","Eswatini","18,664","","673","","17,906","","85","11","15,934","575","213,763","182,493","1,171,352","Africa","63","1,740",5,NA,NA,"73"
"134","Guyana","17,718","","411","","15,520","","1,787","17","22,425","520","161,788","204,771","790,092","South America","45","1,922",5,NA,NA,"2,262"
"135","Suriname","16,786","","355","","12,725","","3,706","35","28,377","600","66,742","112,830","591,529","South America","35","1,666",9,NA,NA,"6,265"
"136","Guadeloupe","16,530","","221","","2,250","","14,059","29","41,306","552","201,479","503,461","400,188","North America","24","1,811",2,NA,NA,"35,131"
"137","Papua New Guinea","16,374","","164","","15,659","","551","7","1,798","18","117,373","12,892","9,104,459","Australia/Oceania","556","55,515",78,NA,NA,"61"
"138","Haiti","15,754","","330","","12,557","","2,867","","1,366","29","71,047","6,161","11,531,917","North America","732","34,945",162,NA,NA,"249"
"139","Somalia","14,768","","773","","6,964","","7,031","","906","47","136,782","8,390","16,303,937","Africa","1,104","21,092",119,NA,NA,"431"
